Name,Country,Region,Winery,Rating,Price,Year,PriceCategory
Höllberg Riesling GG 2017,Germany,Rheinhessen,Wagner-Stempel,4.0,37.56,2017.0,Mid
Riesling 2017,Germany,Mosel,Heymann-Löwenstein,3.5,37.0,2017.0,Mid
Kirchberg 2017,Germany,Mosel,Heymann-Löwenstein,3.8,24.0,2017.0,Mid
Geheimrat J Riesling Spätlese Trocken 2015,Germany,Rheingau,Weingüter Wegeler,4.1,24.9,2015.0,Mid
Merus Sauvignon Blanc 2019,Italy,Trentino,Tiefenbrunner,4.1,9.99,2019.0,Budget
Forster Ungeheuer Riesling 2018,Germany,Pfalz,Von Winning,4.3,35.0,2018.0,Mid
Bourgogne Hautes Côtes de Beaune Blanc 2007,France,Bourgogne Hautes-Côtes de Beaune,Jayer Gilles,3.4,25.0,2007.0,Mid
Sommer Riesling Trocken 2019,Germany,Rheingau,Schloss Vollrads,3.8,7.9,2019.0,Budget
Lagar de Darei Branco 2017,Portugal,Dão,Darei,3.7,8.77,2017.0,Budget
Chenin Blanc 2018,South Africa,Stellenbosch,Rainbow's End,3.6,8.9,2018.0,Budget
Lugana Blanc 2019,Italy,Lugana,Ca' Lojera,3.9,10.57,2019.0,Economy
Bèru 2015,Italy,Vermentino di Gallura,Siddura,3.9,34.9,2015.0,Mid
Cà del Lago Lugana 2019,Italy,Lugana,Villabella,4.0,9.83,2019.0,Budget
Weissburgunder Trocken 2019,Germany,Pfalz,Weingut Metzger,3.8,8.5,2019.0,Budget
Hard 2017,Germany,Baden,Ziereisen,4.3,26.5,2017.0,Mid
Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Tramin,3.8,9.73,2019.0,Budget
RS Grauburgunder 2017,Germany,Baden,Salwey,3.9,15.5,2017.0,Economy
Lugana 2019,Italy,Lugana,Roveglia,4.1,11.9,2019.0,Economy
Würzburger Stein Silvaner GG 2016,Germany,Franken,Juliusspital,4.0,29.9,2016.0,Mid
Grüner Silvaner Trocken 2018,Germany,Rheinhessen,Knewitz,3.6,8.07,2018.0,Budget
Chardonnay 2018,Austria,Mittelburgenland,Gesellmann,3.5,15.9,2018.0,Economy
Blanco 2019,Portugal,Vinho Verde,Escudo Real,3.4,5.71,2019.0,Budget
Garganega - Chardonnay delle Venezie Cuvée 2018,Italy,delle Venezie,Cielo e Terra,3.4,4.38,2018.0,Budget
7 Terroirs 2019,Germany,Nahe,Gut Hermannsberg,3.8,11.6,2019.0,Economy
Bianco Passivento 2019,Italy,Terre Siciliane,Barone Montalto,3.9,8.32,2019.0,Budget
Weissburgunder Trocken 2017,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.4,9.72,2017.0,Budget
Faius 2016,Italy,Irpinia,I Capitani,3.9,15.69,2016.0,Economy
Paradies Riesling 2018,Germany,Nahe,Korrell,4.1,22.7,2018.0,Mid
Bernkasteler Badstube Riesling Kabinett Feinherb 2015,Germany,Mosel,Markus Molitor,3.9,16.95,2015.0,Economy
Reserva Chardonnay 2016,Portugal,Lisboa,Quinta do Lagar Novo,3.8,13.65,2016.0,Economy
Collage Grauer Burgunder 2018,Germany,Pfalz,Hammel & Cie,3.9,9.46,2018.0,Budget
Franciscus Grüner Veltliner 2016,Austria,Kremstal,Salomon Undhof,3.2,10.23,2016.0,Economy
Ungeheuer Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.2,34.12,2018.0,Mid
Riesling Federspiel Himmelstiege 2019,Austria,Wachau,Domäne Wachau,3.4,9.85,2019.0,Budget
Kastanienbusch GG 2018,Germany,Pfalz,Ökonomierat Rebholz,4.2,66.31,2018.0,Premium
Limne 2019,Italy,Lugana,Roveglia,3.7,9.11,2019.0,Budget
Riesling 2017,France,Alsace,Albert Boxler,3.9,27.78,2017.0,Mid
Grüner Veltliner 2019,Austria,Kamptal,Loimer,3.9,9.44,2019.0,Budget
Chardonnay 2018,France,Pays d'Oc,Abbotts & Delaunay,3.7,6.73,2018.0,Budget
Verdicchio Dei Castelli Di Jesi Classico Le Vele 2019,Italy,Verdicchio dei Castelli di Jesi,Moncaro,3.7,6.32,2019.0,Budget
Chinon Blanc 2017,France,Chinon,Château de Saint Louans,4.2,27.29,2017.0,Mid
Rotenberg GG 2016,Germany,Nahe,Gut Hermannsberg,4.0,29.5,2016.0,Mid
Chardonnay 2017,United States,California,American Wings,3.2,6.73,2017.0,Budget
Diel de Diel Weisses Cuvée Trocken 2017,Germany,Nahe,Diel,3.6,11.95,2017.0,Economy
Vermentino (Etichetta Nera/Black Label) 2019,Italy,Colli di Luni,Lvnae,4.0,19.45,2019.0,Economy
Riesling Alsace Grand Cru 'Geisberg' 2012,France,Alsace Grand Cru 'Geisberg',Trimbach,4.4,53.35,2012.0,Premium
Sankt Nikolaus Riesling Trocken 2017,Germany,Rheingau,Peter Jakob Kühn,4.3,42.89,2017.0,Mid
Nachts Sind Alle Burgunder Grau 2019,Germany,Pfalz,Karl Pfaffmann,4.2,7.9,2019.0,Budget
Sauvignon Blanc 2018,South Africa,Stellenbosch,Drostdy-Hof,3.0,7.79,2018.0,Budget
Chardonnay 2019,South Africa,Durbanville,Durbanville Hills,3.5,7.99,2019.0,Budget
Neuland Grüner Veltliner 2019,Austria,Weinviertel,Herbert Zillinger,3.7,8.24,2019.0,Budget
Grauburgunder 2019,Germany,Rheinhessen,Krämer - Straight,3.9,7.73,2019.0,Budget
Sauvignon Stern 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.9,12.18,2018.0,Economy
Les Chays Condrieu 2015,France,Condrieu,Chirat,4.0,41.43,2015.0,Mid
Weissburgunder Trocken 2018,Germany,Pfalz,Studier,3.8,7.64,2018.0,Budget
Saumur Blanc 2018,France,Saumur,Langlois-Chateau,3.7,11.16,2018.0,Economy
Cellar Selection Chenin Blanc 2019,South Africa,Stellenbosch,Kleine Zalze,3.8,7.5,2019.0,Budget
Pinot Grigio 2019,Italy,Garda,La Prendina,3.7,10.96,2019.0,Economy
Hipping Riesling 2015,Germany,Rheinhessen,Kühling-Gillot,4.3,45.0,2015.0,Mid
Grauburgunder Trocken 2018,Germany,Nahe,Dönnhoff,3.6,12.57,2018.0,Economy
Sciare di Est Insolia 2017,Italy,Terre Siciliane,Antichi Vinai,3.6,7.42,2017.0,Budget
Bourgogne Aligoté 2018,France,Bourgogne Aligoté,Louis Jadot,3.5,12.6,2018.0,Economy
Le Chardonnay Limoux Blanc 2014,France,Limoux,Domaine de Baron'arques,3.8,37.82,2014.0,Mid
Vernaccia di San Gimignano 2018,Italy,Vernaccia di San Gimignano,Palagetto,3.5,8.5,2018.0,Budget
